id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,27000467208.0,27000467208.0,27064452782.0,13086348179.8,19051820559.8,12513982788.156,13802373193.487,1288390405.3309994,95.62624053876621,46.23770851365149,0,True,True,False
2,1,Государственные услуги общего характера,1014451604.0,1014451604.0,1197101619.7,542464956.2,808546070.1,500645887.469,708109204.669,207463317.20000005,92.2909179195749,41.8215028056235,0,True,True,False
3,2,Оборона,1187630161.0,1187630161.0,1170778699.7,406551805.6,783511231.4,385345116.53,497924968.871,112579852.34100002,94.78376709243668,32.913574241548865,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1278199119.0,1278199119.0,1272450312.4,565112941.1,784660630.4,518665310.202,643647780.441,124982470.23899996,91.78082335053432,40.761144474374994,0,True,True,False
5,4,Образование,1643205800.0,1643205800.0,1626013355.6,562600960.0,1405775147.0,544424927.828,729332647.784,184907719.9560001,96.76928525468566,33.48219287086402,0,True,True,False
6,5,Здравоохранение,2383119489.0,2383119489.0,2425033659.8,1241658321.4,1379728627.5,832353874.212,897262097.909,64908223.69700003,67.03566189396618,34.32339468148441,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,5455884724.0,5455884724.0,5453068147.9,2683728546.9,2730576004.7,2681697583.388,2696994983.426,15297400.038000107,99.92432306485148,49.17777498197475,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,460451982.0,460451982.0,460451982.0,100310543.9,452455150.0,100310543.9,100734590.9,424047.0,100.0,21.785234469899624,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",342779903.0,342779903.0,357175781.3,117110294.8,335442181.7,109324669.58,222831580.891,113506911.311,93.351886584099,30.608085795205618,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,167876720.0,167876720.0,166583520.0,21886989.1,164931349.0,21886988.143,30405702.207,8518714.064,99.99999562753928,13.138747544174837,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",723573448.0,723573448.0,790883644.8,323499723.1,674922597.4,316683610.979,422523238.573,105839627.59400004,97.89300836004331,40.04174483328499,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",140359848.0,140359848.0,140359848.0,4427322.4,18579848.0,4427318.13,9619472.33,5192154.2,99.99990355344349,3.1542625566251683,0,True,True,False
13,12,Транспорт и коммуникации,858088614.0,858088614.0,843539367.0,313685499.1,701963630.4,301476838.606,579976685.839,278499847.233,96.10799334714926,35.739510258802184,0,True,True,False
14,13,Прочие,1040635643.0,1040635643.0,799049508.8,260640654.5,565531840.4,254070500.303,320340620.761,66270120.457999974,97.47922893701912,31.796590512214834,0,True,True,False
15,14,Обслуживание долга,2022608817.0,2022608817.0,2022608817.0,1389988881.7,1389988881.7,1389988881.589,1389988881.589,0.0,99.99999999201432,68.72257600709352,0,True,True,False
16,15,Трансферты,5265026806.0,5265026806.0,5322779988.0,2730081469.9,5032608100.0,2730081469.9,2730081469.9,0.0,100.0,51.29051879008455,0,True,True,False
17,16,Погашение займов,3016574530.0,3016574530.0,3016574530.0,1822599270.1,1822599270.1,1822599267.397,1822599267.397,0.0,99.99999985169534,60.41950063793053,0,True,True,False
