id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,0.0,17108567495.6,12003756626.323,13032860309.838,1029103683.5149994,0.0,47.883190330260526,0,True,True,False
2,1,Государственные услуги общего характера,907842888.0,1010393352.0,1065014324.4,0.0,716721132.7,483282877.803,602104586.169,118821708.36600006,0.0,45.37806363076557,0,True,True,False
3,2,Оборона,1030363707.0,1148199687.0,1148713773.0,0.0,742443052.4,556905753.818,665314506.605,108408752.78700006,0.0,48.48081105213665,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1071897410.0,1262039415.0,1262147183.7,0.0,816909520.8,494279961.412,609805180.254,115525218.84199995,0.0,39.1618321377553,0,True,True,False
5,4,Образование,1210049686.0,1264558594.0,1268664638.1,0.0,1020977004.2,591121825.505,750426697.85,159304872.34500003,0.0,46.59401765862146,0,True,True,False
6,5,Здравоохранение,2027397171.0,2171115595.0,2171129281.9,0.0,1145066330.6,1040659245.485,1106873955.035,66214709.55000007,0.0,47.931703291952175,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,4663442896.0,4715889660.0,4715899660.0,0.0,2368855501.1,2345787796.985,2360888244.182,15100447.197000027,0.0,49.74210577213596,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,336481716.0,623106309.0,623106309.0,0.0,597878342.0,183355794.4,183779201.4,423407.0,0.0,29.42608536483299,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",197462331.0,252810914.0,253033019.2,0.0,231371806.6,109538600.869,217764515.628,108225914.75899999,0.0,43.29023983325256,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,109938511.0,184752773.0,184752773.0,0.0,183305702.0,78452929.114,86999167.419,8546238.305000007,0.0,42.46373563984341,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",433731024.0,683209621.0,683209621.0,0.0,445447939.6,302526639.835,383347828.088,80821188.25300002,0.0,44.28020779218505,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",181484873.0,229026652.0,229026652.0,0.0,205114429.9,176301744.297,182062120.309,5760376.0119999945,0.0,76.97870215428027,0,True,True,False
13,12,Транспорт и коммуникации,647241258.0,835381644.0,835381644.0,0.0,652332760.7,323382658.94,520949386.88,197566727.94,0.0,38.710769055394756,0,True,True,False
14,13,Прочие,1425291377.0,1298811866.0,1239217202.7,0.0,943774686.6,683944838.133,728328960.292,44384122.15900004,0.0,55.1916836405131,0,True,True,False
15,14,Обслуживание долга,1759017679.0,1842725170.0,1842725170.0,0.0,1074439179.1,1054166937.462,1054166937.462,0.0,0.0,57.20695384336667,0,True,True,False
16,15,Трансферты,4995054752.0,4995054752.0,4995054752.0,0.0,4918803651.0,2537943314.5,2537943314.5,0.0,0.0,50.80911902885183,0,True,True,False
17,16,Погашение займов,2551756176.0,2551756176.0,2551756176.0,0.0,1045126456.3,1042105707.765,1042105707.765,0.0,0.0,40.83876498727832,0,True,True,False
