id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,29938459793.0,29938459793.0,29938459793.0,5067240450.4,13617367537.0,4506529548.291,5793683334.75,1287153786.4589996,88.934590580466,15.052643253694317,0,True,True,False
2,1,Государственные услуги общего характера,1034151125.0,1034151125.0,1126808072.4,261935284.9,536017476.9,209188661.13,413290618.964,204101957.834,79.86272686013368,18.56471090808277,0,True,True,False
3,2,Оборона,1213563312.0,1213563312.0,1213563312.0,97717087.1,254379094.0,80846185.699,162490676.337,81644490.63800001,82.73495260482443,6.66188446037993,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1316756306.0,1316756306.0,1316756306.0,190419984.8,451145458.5,158301801.379,246238179.631,87936378.252,83.13297658607942,12.022103152851733,0,True,True,False
5,4,Образование,1440306825.0,1440306825.0,1440306825.0,218747803.0,941157098.7,200966479.888,307973450.571,107006970.68299997,91.87131350891785,13.953032534439322,0,True,True,False
6,5,Здравоохранение,2591028478.0,2591028478.0,2591028478.0,635413651.7,781795412.5,363392643.45,438829054.816,75436411.366,57.18993327854557,14.025034712489948,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,6108396231.0,6108396231.0,6108396231.0,1017809860.2,1098799462.9,1014764494.988,1038464717.485,23700222.49699998,99.70079232565092,16.612617397641767,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,257084245.0,257084245.0,257084245.0,6868613.0,218013326.0,6868613.0,6868613.0,0.0,100.0,2.6717362629514696,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",279159938.0,279159938.0,279269938.0,53092905.8,229717548.0,51080957.916,215955336.269,164874378.353,96.21051465599008,18.290890269757572,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,113450630.0,113450630.0,113450630.0,8403574.0,84448527.0,8403571.496,18505465.388,10101893.892,99.99997020315404,7.407249740261468,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",923615427.0,923615427.0,1040386957.2,124543490.5,440996891.6,64939002.091,218906046.514,153967044.423,52.14162685684484,6.241812398895382,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",48158532.0,48158532.0,48158532.0,165609.0,8611404.0,162149.24,3423199.0,3261049.76,97.91088648563785,0.3366988844261282,0,True,True,False
13,12,Транспорт и коммуникации,1286490726.0,1286490726.0,1286490726.0,208661270.0,1015927254.0,158105266.374,506973513.894,348868247.52,75.77125662754761,12.28965457571437,0,True,True,False
14,13,Прочие,861931034.0,861931034.0,652392556.4,89580201.8,404727596.9,35628611.166,61883352.407,26254741.240999997,39.77286325559495,5.461222819984952,0,True,True,False
15,14,Обслуживание долга,2502000000.0,2502000000.0,2502000000.0,529604876.0,529604876.0,529604873.726,529604873.726,0.0,99.99999957062329,21.1672611401279,0,True,True,False
16,15,Трансферты,5774300885.0,5774300885.0,5774300885.0,776551013.6,5774300885.0,776551013.6,776551013.6,0.0,100.0,13.448398846296005,0,True,True,False
17,16,Погашение займов,4188066099.0,4188066099.0,4188066099.0,847725225.0,847725225.0,847725223.148,847725223.148,0.0,99.99999978153299,20.2414480361333,0,True,True,False
