id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,27000467208.0,27000467208.0,27064452782.0,17977905571.5,21687782794.6,17129013074.819,18014273461.081,885260386.262001,95.27813463417712,63.28970776830614,0,True,True,False
2,1,Государственные услуги общего характера,1014451604.0,1014451604.0,1277471047.9,834143737.0,1049394799.8,776893663.441,884293989.375,107400325.93400002,93.1366656584991,60.81497226243322,0,True,True,False
3,2,Оборона,1187630161.0,1187630161.0,1166803770.6,697008589.8,776753311.8,630623774.169,716787975.551,86164201.38199997,90.47575358432118,54.047114867028355,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1278199119.0,1278199119.0,1273850147.5,801702540.3,959019387.0,739552705.994,840322603.77,100769897.77600002,92.24776881925017,58.056491765959464,0,True,True,False
5,4,Образование,1643205800.0,1643205800.0,1633341259.9,961711861.3,1458891446.5,888075803.182,1006920967.696,118845164.51399994,92.3432307449695,54.37172408394139,0,True,True,False
6,5,Здравоохранение,2383119489.0,2383119489.0,2425033659.8,1593646027.0,1698199348.0,1205255843.063,1255477067.499,50221224.43600011,75.62882990596506,49.700582018412106,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,5455884724.0,5455884724.0,5452527539.9,3575389303.4,3612306883.6,3575195071.191,3585205618.866,10010547.67500019,99.99456752279212,65.56950047530745,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,460451982.0,460451982.0,460451982.0,232988556.7,452855150.0,220440868.7,220864915.7,424047.0,94.61446168098435,47.8748875707956,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",342779903.0,342779903.0,357203845.6,184800714.6,342594691.3,174071010.398,258850119.629,84779109.231,94.19390545906472,48.73156113580206,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,167876720.0,167876720.0,166583520.0,84209680.7,165748111.0,83026366.494,88979277.998,5952911.503999993,98.59480026979843,49.84068441704198,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",723573448.0,723573448.0,789839312.8,475288590.7,718913571.0,458204367.594,531748968.56,73544600.96600002,96.40550532028583,58.01235266065121,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",140359848.0,140359848.0,140359848.0,14195260.0,20359848.0,14065439.55,17646086.33,3580646.7799999975,99.0854662049163,10.020985168066012,0,True,True,False
13,12,Транспорт и коммуникации,858088614.0,858088614.0,841148927.0,557098537.5,796815000.4,533715956.969,727420037.609,193704080.64,95.80279269158915,63.45082777107317,0,True,True,False
14,13,Прочие,1040635643.0,1040635643.0,717874586.0,478217108.1,590464365.1,342387140.892,392250769.316,49863628.423999965,71.5965897272758,47.69456219362528,0,True,True,False
15,14,Обслуживание долга,2022608817.0,2022608817.0,2022608817.0,1848679150.0,1848679150.0,1848679149.431,1848679149.431,0.0,99.99999996922126,91.40072632398694,0,True,True,False
16,15,Трансферты,5265026806.0,5265026806.0,5322779988.0,3558709923.3,5116671740.0,3558709923.3,3558709923.3,0.0,100.0,66.85810669092041,0,True,True,False
17,16,Погашение займов,3016574530.0,3016574530.0,3016574530.0,2080115991.1,2080115991.1,2080115990.451,2080115990.451,0.0,99.99999996879983,68.95622732885039,0,True,True,False
