id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,23548453455.0,23548453455.0,23557046292.0,0.0,11760808909.4,5542617729.759,6597412414.188,1054794684.4289999,0.0,23.52849190452743,0,True,True,False
2,1,Государственные услуги общего характера,907842888.0,907842888.0,927157397.7,0.0,474639440.2,258220360.388,374063684.718,115843324.32999998,0.0,27.850757706142176,0,True,True,False
3,2,Оборона,1030363707.0,1030363707.0,1030510275.1,0.0,348888791.6,209449402.628,298488546.691,89039144.063,0.0,20.324824282579343,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1071897410.0,1071897410.0,1073060453.0,0.0,485065697.9,204898554.107,283609577.196,78711023.08899999,0.0,19.094781988671425,0,True,True,False
5,4,Образование,1210049686.0,1210049686.0,1214139289.0,0.0,915985404.5,434441724.852,641911206.555,207469481.70299995,0.0,35.781868586908075,0,True,True,False
6,5,Здравоохранение,2027397171.0,2027397171.0,2027397171.0,0.0,633041475.8,547345079.453,621217539.349,73872459.89600003,0.0,26.997427405061718,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,4663442896.0,4663442896.0,4663452896.0,0.0,1229977473.1,1199439689.191,1219688751.876,20249062.684999943,0.0,25.719991515724317,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,336481716.0,336481716.0,336481716.0,0.0,275188430.0,51772908.7,51772908.7,0.0,0.0,15.386544420737561,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",197462331.0,197462331.0,200898735.0,0.0,166425947.2,45761364.871,155612988.39,109851623.519,0.0,22.778324050173833,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,109938511.0,109938511.0,109938511.0,0.0,98561588.0,11778935.411,14744237.657,2965302.2459999993,0.0,10.714112192223524,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",433731024.0,433731024.0,433179713.0,0.0,342745489.0,197443724.09,288726781.17,91283057.08000001,0.0,45.58009485776635,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",181484873.0,181484873.0,182036184.0,0.0,28791755.0,13319227.953,19265581.992,5946354.038999999,0.0,7.316802440222543,0,True,True,False
13,12,Транспорт и коммуникации,647241258.0,647241258.0,647241258.0,0.0,480431707.0,119724587.41,354877684.369,235153096.95900002,0.0,18.497675469569646,0,True,True,False
14,13,Прочие,1425291377.0,1425291377.0,1405724086.2,0.0,519508036.3,301656276.261,326067031.081,24410754.819999993,0.0,21.459138334639142,0,True,True,False
15,14,Обслуживание долга,1759017679.0,1759017679.0,1759017679.0,0.0,556251773.7,556251773.587,556251773.587,0.0,0.0,31.622864296806195,0,True,True,False
16,15,Трансферты,4995054752.0,4995054752.0,4995054752.0,0.0,4878041461.0,1063849682.6,1063849682.6,0.0,0.0,21.29805848822856,0,True,True,False
17,16,Погашение займов,2551756176.0,2551756176.0,2551756176.0,0.0,327264439.1,327264438.257,327264438.257,0.0,0.0,12.825066961139003,0,True,True,False
