id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,11520467815.0,13626875225.4,13784274525.3,6897308461.9,12199869843.4,6813951525.78,9400855097.484,2586903571.7039995,98.7914570360242,49.432790338537615,0,True,True,False
2,1,Государственные услуги общего характера,330733637.2,391922389.6,451704125.8,241048190.5,400402215.0,237959508.218,297787732.36,59828224.14200002,98.71864531503297,52.680392900232384,0,True,True,False
3,2,Оборона,68660352.4,84505113.5,85118104.3,26679918.5,79110821.0,24404279.26,50767549.322,26363270.061999995,91.4705914862521,28.671079391038557,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",291862091.0,329204940.4,329202230.5,154237716.6,280328349.5,153192039.588,194791317.57,41599277.98199999,99.32203546898204,46.5343261360436,0,True,True,False
5,4,Образование,5005750655.0,5124133387.9,5127089943.7,2827611845.0,4589380723.4,2819631774.26,3598583360.547,778951586.2869997,99.71778054494605,54.99477881648382,0,True,True,False
6,5,Здравоохранение,307894771.0,354112812.9,359470476.0,117854397.5,307416536.9,114980804.551,178300734.791,63319930.24000001,97.56174312545274,31.98616081922678,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,677644184.4,725172535.4,702104564.4,347094220.0,574977376.5,344401058.491,380553139.136,36152080.64499998,99.22408344656387,49.05267334151517,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,1230244727.7,1937820766.2,2010711500.9,772761529.3,1935589537.9,751898479.279,1468152539.612,716254060.333,97.3001955674607,37.394647563434546,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",554081353.3,622083918.3,626498509.1,328013044.1,549813537.2,324544251.011,413938096.726,89393845.71500003,98.94248318736297,51.80287683002245,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,169350210.0,319707696.5,326348659.4,160365423.1,324682257.4,154165784.305,295283803.036,141118018.731,96.13405516279276,47.23959479056467,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",699228597.2,897599817.1,905338306.4,427276592.3,703134229.6,417827993.814,477611748.592,59783754.778,97.78864588974116,46.15158674500995,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",38052685.9,51507182.3,79095663.0,40323344.3,75215794.7,38685596.701,56700542.146,18014945.445,95.93846287446947,48.90988359374394,0,True,True,False
13,12,Транспорт и коммуникации,827597641.8,1135833414.7,1166092355.4,565586460.1,1130616024.4,554021437.765,915787596.69,361766158.9250001,97.95521584216227,47.51093986676177,0,True,True,False
14,13,Прочие,577036501.1,858201437.6,820414291.4,449865556.7,754777559.4,439649900.985,634008319.404,194358418.41900003,97.72917584757163,53.5887667479265,0,True,True,False
15,14,Обслуживание долга,60635388.0,59382621.7,59382479.7,19654376.6,30514253.0,19653526.261,19653526.261,0.0,99.99567353868653,33.096506512172475,0,True,True,False
16,15,Трансферты,437012012.0,497581311.3,497597435.3,350086014.3,350132239.3,350085976.396,350085976.396,0.0,99.99998917294653,70.35526141426638,0,True,True,False
17,16,Погашение займов,244683007.0,238105880.0,238105880.0,68849833.0,113778388.2,68849114.895,68849114.895,0.0,99.99895699819635,28.915335856048575,0,True,True,False
