id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,11520467815.0,13831198548.0,14014815665.4,7938190388.0,12657281970.2,7807098079.88,10193319687.395,2386221607.5150003,98.34858699889374,55.70603471549247,0,True,True,False
2,1,Государственные услуги общего характера,330733637.2,404142195.5,477776435.5,290007971.3,435688519.4,281997864.26,343954469.049,61956604.789000034,97.237970044722,59.02297461884765,0,True,True,False
3,2,Оборона,68660352.4,86120882.1,86667817.8,34398659.8,82725664.3,29734558.418,56216688.098,26482129.679999996,86.44103750228084,34.308650168875026,0,True,True,False
4,3,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",291862091.0,336637906.9,336637029.9,181949212.1,293339430.0,179819311.445,226396636.455,46577325.01000002,98.82939825327225,53.41637891066719,0,True,True,False
5,4,Образование,5005750655.0,5131253908.8,5162309997.2,3085353054.6,4705281971.9,3070872123.018,3774453669.504,703581546.4860001,99.53065560648206,59.4863951348063,0,True,True,False
6,5,Здравоохранение,307894771.0,367534799.2,371433008.3,140866119.9,320930667.4,136922903.135,200844503.308,63921600.17300001,97.2007344506974,36.86341818721984,0,True,True,False
7,6,Социальная помощь и социальное обеспечение,677644184.4,744573208.6,727161434.6,406341040.2,605317049.8,402682516.086,438101482.102,35418966.01599997,99.09964198738102,55.377320210540226,0,True,True,False
8,7,Жилищно-коммунальное хозяйство,1230244727.7,1998776097.2,2067834702.7,958415487.7,2001128765.1,921939150.932,1595507076.074,673567925.1419998,96.1940998203675,44.584760557902015,0,True,True,False
9,8,"Культура, спорт, туризм и информационное пространство",554081353.3,638090825.4,642490038.0,381913257.5,581481991.1,375730030.684,456007626.995,80277596.31099999,98.3809865998171,58.480288947919846,0,True,True,False
10,9,Топливно-энергетический комплекс и недропользование,169350210.0,325257202.6,331692189.6,187650376.2,331358343.4,180348720.237,299648273.929,119299553.69200003,96.10890417015855,54.37231442033327,0,True,True,False
11,10,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",699228597.2,899125184.2,906881168.8,497633692.0,706653256.6,490543896.871,548209791.202,57665894.33100003,98.57529840865357,54.091309175610704,0,True,True,False
12,11,"Промышленность, архитектурная, градостроительная и строительная деятельность",38052685.9,52741868.0,81374621.8,46206513.2,78596180.5,44040163.342,61758444.969,17718281.626999997,95.31159200733632,54.12026792608701,0,True,True,False
13,12,Транспорт и коммуникации,827597641.8,1180766531.6,1202784513.6,703539787.0,1186108415.2,686244674.72,1015952082.115,329707407.395,97.54170089601486,57.05466498450601,0,True,True,False
14,13,Прочие,577036501.1,891417590.2,844954331.7,529775958.0,787422722.6,512084642.795,682131419.658,170046776.86299998,96.66060436721442,60.605008292544625,0,True,True,False
15,14,Обслуживание долга,60635388.0,59216705.3,59216705.3,31924210.0,38737223.0,31923230.577,31923230.577,0.0,99.99693203684602,53.909163664666096,0,True,True,False
16,15,Трансферты,437012012.0,498037899.5,498078299.5,387575438.3,387611426.5,387575399.915,387575399.915,0.0,99.99999009612164,77.81415096864706,0,True,True,False
17,16,Погашение займов,244683007.0,217505742.9,217523371.1,74639610.2,114900343.4,74638893.445,74638893.445,0.0,99.99903971229473,34.31304556726778,0,True,True,False
