id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,month
10,Топливно-энергетический комплекс и недропользование,205358597.0,206813806.4,189741823.4,24395896.5,183006046.4,20857698.121,66065226.279,45207528.158,85.49674786905248,10.99267296331885,0,True,True,False,9.0,02.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1036195146.4,1018865178.7,217984231.0,786698817.2,208379220.02,331257481.037,122878261.01699999,95.5937129323818,20.452089675483577,0,True,True,False,10.0,02.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,210461490.9,209929674.0,5660125.3,48857166.8,5299537.003,18032521.794,12732984.791000001,93.6293230646325,2.524434446080262,0,True,True,False,11.0,02.2023
13,Транспорт и коммуникации,1474838899.8,1500913245.2,1404794415.9,138413534.2,1130052167.5,136496274.449,555582417.5,419086143.051,98.61483216790805,9.716459070742523,0,True,True,False,12.0,02.2023
14,Прочие,1972941131.1,2004328484.3,1904626486.6,197945622.7,711891691.9,191716114.737,307781305.645,116065190.90799999,96.85291956547015,10.065811647891005,0,True,True,False,13.0,02.2023
15,Обслуживание долга,1819380632.0,1819380635.0,1819586728.0,381952487.2,397450352.0,381950177.802,381950177.802,0.0,99.99939537034646,20.99103999411013,0,True,True,False,14.0,02.2023
16,Трансферты,0.0,0.0,4747345.0,794218.0,4473793.0,794218.0,794218.0,0.0,100.0,16.729729985918446,0,True,True,False,15.0,02.2023
17,Погашение займов,2711191578.0,2711191578.0,2711191578.0,297375880.0,347831142.0,297375870.894,297375870.894,0.0,99.99999693788212,10.968456574852933,0,True,True,False,16.0,02.2023
1,Итого,29330118273.0,29400189686.9,28410485062.1,6371664369.4,14636183620.7,6293937495.631,9573346671.244,3279409175.613,98.78011663416729,22.153572816069953,0,True,True,False,,03.2023
2,Государственные услуги общего характера,1238576525.2,1241914102.8,1256233560.6,358619091.6,711609862.7,332991026.317,477816899.836,144825873.51900005,92.85368072049401,26.50709523776434,0,True,True,False,1.0,03.2023
3,Оборона,1099024059.4,1100577283.3,1098856703.0,216626344.3,407141239.0,215709503.797,318140787.668,102431283.87099999,99.57676407919698,19.630357917287053,0,True,True,False,2.0,03.2023
