id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,parentCode,parent_id
1,1.0,I. ДОХОДЫ,13330085469.0,13330662469.0,13330662469.0,592542254.0,0.0,843332746.395,0.0,0.0,142.32449090373225,6.326262842196638,0,False,True,False,,
6,1.0,НАЛОГОВЫЕ ПОСТУПЛЕНИЯ,5945667779.0,5945944779.0,5945944779.0,266108256.0,0.0,488918033.022,0.0,0.0,183.7289982547554,8.22271398733419,1,False,True,False,1.0,1.0
7,1.0,Налоговые поступления,5945667779.0,5945944779.0,5945944779.0,266108256.0,0.0,488918033.022,0.0,0.0,183.7289982547554,8.22271398733419,2,False,True,False,1.0,6.0
8,1.0,Подоходный налог,3061110392.0,3061260392.0,3061260392.0,144537412.9,0.0,284477955.988,0.0,0.0,196.819598663233,9.292837575379965,3,False,True,False,1.0,7.0
9,1.0,Корпоративный подоходный налог,1161215341.0,1161215341.0,1161215341.0,48219163.0,0.0,100378223.928,0.0,0.0,208.17081359956413,8.644238530431195,4,False,True,False,1.0,8.0
10,2.0,Индивидуальный подоходный налог,1899895051.0,1900045051.0,1900045051.0,96318249.9,0.0,184099732.06,0.0,0.0,191.1369156428163,9.689229840266561,4,False,True,False,1.0,8.0
11,3.0,Социальный налог,1299172830.0,1299172830.0,1299172830.0,76169839.3,0.0,120205535.053,0.0,0.0,157.81250972522403,9.252466821754577,3,False,True,False,1.0,7.0
12,1.0,Социальный налог,1299172830.0,1299172830.0,1299172830.0,76169839.3,0.0,120205535.053,0.0,0.0,157.81250972522403,9.252466821754577,4,False,True,False,3.0,11.0
13,4.0,Hалоги на собственность,540637353.0,540764353.0,540764353.0,5127024.7,0.0,5808875.939,0.0,0.0,113.29916040778973,1.0741972740573749,3,False,True,False,1.0,7.0
14,1.0,Hалоги на имущество,426895264.0,426965264.0,426965264.0,3482389.6,0.0,3395656.637,0.0,0.0,97.50938370020403,0.795300443222941,4,False,True,False,4.0,13.0
15,3.0,Земельный налог,16443038.0,16443038.0,16443038.0,206239.7,0.0,378572.851,0.0,0.0,183.559640069298,2.3023291133913335,4,False,True,False,4.0,13.0
16,4.0,Hалог на транспортные средства,96011942.0,96018942.0,96018942.0,1420687.8,0.0,1751537.317,0.0,0.0,123.28798184935495,1.8241581093447166,4,False,True,False,4.0,13.0
17,5.0,Единый земельный налог,1287109.0,1337109.0,1337109.0,17707.6,0.0,283109.134,0.0,0.0,1598.800142311776,21.173227762284153,4,False,True,False,4.0,13.0
18,5.0,"Внутренние налоги на товары, работы и услуги",945959697.0,945959697.0,945959697.0,36293457.5,0.0,69344944.053,0.0,0.0,191.0673405888651,7.3306446641352,3,False,True,False,1.0,7.0
19,2.0,Акцизы,755671050.0,755671050.0,755671050.0,32928410.0,0.0,61465861.046,0.0,0.0,186.66513520087972,8.13394413428965,4,False,True,False,5.0,18.0
20,3.0,Поступления за использование природных и других ресурсов,137899905.0,137899905.0,137899905.0,769705.3,0.0,1387885.866,0.0,0.0,180.31392872051157,1.006444396027684,4,False,True,False,5.0,18.0
21,4.0,Сборы за ведение предпринимательской и профессиональной деятельности,52388742.0,52388742.0,52388742.0,2595342.2,0.0,6491197.141,0.0,0.0,250.10949003179616,12.3904428569787,4,False,True,False,5.0,18.0
22,7.0,Прочие налоги,105983.0,105983.0,105983.0,583.0,0.0,51696.692,0.0,0.0,8867.357118353346,48.77828708377759,3,False,True,False,1.0,7.0
23,1.0,Прочие налоги,105983.0,105983.0,105983.0,583.0,0.0,51696.692,0.0,0.0,8867.357118353346,48.77828708377759,4,False,True,False,7.0,22.0
24,8.0,"Обязательные платежи, взимаемые за совершение юридически значимых действий и (или) выдачу документов уполномоченными на то государственными органами или должностными лицами",98681524.0,98681524.0,98681524.0,3979938.6,0.0,9029025.297,0.0,0.0,226.86343193837212,9.149661386461766,3,False,True,False,1.0,7.0
25,1.0,Государственная пошлина,98681524.0,98681524.0,98681524.0,3979938.6,0.0,9029025.297,0.0,0.0,226.86343193837212,9.149661386461766,4,False,True,False,8.0,24.0
26,2.0,НЕНАЛОГОВЫЕ ПОСТУПЛЕНИЯ,75843474.0,75843474.0,75843474.0,2620724.5,0.0,20497431.343,0.0,0.0,782.1284283410941,27.025965797663748,1,False,True,False,1.0,1.0
27,2.0,Неналоговые поступления,75843474.0,75843474.0,75843474.0,2620724.5,0.0,20497431.343,0.0,0.0,782.1284283410941,27.025965797663748,2,False,True,False,2.0,26.0
28,1.0,Доходы от государственной собственности,13564808.0,13564808.0,13564808.0,568581.7,0.0,1051465.625,0.0,0.0,184.92779929427908,7.751422836209699,3,False,True,False,2.0,27.0
29,1.0,Поступления части чистого дохода государственных предприятий,1247902.0,1247902.0,1247902.0,294.0,0.0,16599.39,0.0,0.0,5646.051020408163,1.330183780457119,4,False,True,False,1.0,28.0
30,3.0,"Дивиденды на государственные пакеты акций, находящиеся в государственной собственности",2278043.0,2278043.0,2278043.0,0.0,0.0,62.501,0.0,0.0,0.0,0.0027436268762266558,4,False,True,False,1.0,28.0
31,4.0,"Доходы на доли участия в юридических лицах, находящиеся в государственной собственности",539494.0,539494.0,539494.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,True,False,1.0,28.0
32,5.0,"Доходы от аренды  имущества, находящегося в государственной собственности",8708016.0,8708016.0,8708016.0,536334.0,0.0,974425.443,0.0,0.0,181.68257895266754,11.18998223016586,4,False,True,False,1.0,28.0
33,6.0,Вознаграждения за размещение бюджетных средств на банковских счетах,2000.0,2000.0,2000.0,0.0,0.0,243.056,0.0,0.0,0.0,12.152800000000001,4,False,True,False,1.0,28.0
34,7.0,"Вознаграждения по кредитам, выданным из государственного бюджета",698252.0,698252.0,698252.0,30362.7,0.0,17454.086,0.0,0.0,57.48528951641323,2.4996829224978945,4,False,True,False,1.0,28.0
35,9.0,Прочие доходы от государственной собственности,91101.0,91101.0,91101.0,1589.0,0.0,42681.149,0.0,0.0,2686.038325991189,46.85036278416263,4,False,True,False,1.0,28.0
36,2.0,"Поступления от реализации товаров (работ, услуг) государственными учреждениями, финансируемыми из государственного бюджета",15262.0,15262.0,15262.0,666.0,0.0,3635.681,0.0,0.0,545.898048048048,23.821786135499934,3,False,True,False,2.0,27.0
37,1.0,"Поступления от реализации товаров (работ, услуг) государственными учреждениями, финансируемыми из государственного бюджета",15262.0,15262.0,15262.0,666.0,0.0,3635.681,0.0,0.0,545.898048048048,23.821786135499934,4,False,True,False,2.0,36.0
38,3.0,"Поступления денег от проведения государственных закупок, организуемых государственными учреждениями, финансируемыми из государственного бюджета",142946.0,142946.0,142946.0,6636.3,0.0,27185.191,0.0,0.0,409.6437924747224,19.017804625522924,3,False,True,False,2.0,27.0
39,1.0,"Поступления денег от проведения государственных закупок, организуемых государственными учреждениями, финансируемыми из государственного бюджета",142946.0,142946.0,142946.0,6636.3,0.0,27185.191,0.0,0.0,409.6437924747224,19.017804625522924,4,False,True,False,3.0,38.0
40,4.0,"Штрафы, пени, санкции, взыскания, налагаемые государственными учреждениями, финансируемыми из государственного бюджета, а также содержащимися и финансируемыми из бюджета (сметы расходов) Национального Банка Республики Казахстан",26919883.0,26919883.0,26919883.0,1140160.0,0.0,12179326.163,0.0,0.0,1068.212019628824,45.24286440249388,3,False,True,False,2.0,27.0
41,1.0,"Штрафы, пени, санкции, взыскания, налагаемые государственными учреждениями, финансируемыми из государственного бюджета, а также содержащимися и финансируемыми из бюджета (сметы расходов) Национального Банка Республики Казахстан, за исключением поступлений от организаций нефтяного сектора, в Фонд компенсации потерпевшим, Фонд поддержки инфраструктуры образования и Специальный государственный фонд",26919883.0,26919883.0,26919883.0,1140160.0,0.0,12179326.163,0.0,0.0,1068.212019628824,45.24286440249388,4,False,True,False,4.0,40.0
42,6.0,Прочие неналоговые поступления,35200575.0,35200575.0,35200575.0,904680.5,0.0,7235818.683,0.0,0.0,799.8203435356461,20.55596729030705,3,False,True,False,2.0,27.0
43,1.0,Прочие неналоговые поступления,35200575.0,35200575.0,35200575.0,904680.5,0.0,7235818.683,0.0,0.0,799.8203435356461,20.55596729030705,4,False,True,False,6.0,42.0
44,3.0,ПОСТУПЛЕНИЯ ОТ ПРОДАЖИ ОСНОВНОГО КАПИТАЛА,212660650.0,212960650.0,212960650.0,6023343.5,0.0,16141102.034,0.0,0.0,267.9757851100473,7.579382404214112,1,False,True,False,1.0,1.0
45,3.0,Поступления от продажи основного капитала,212660650.0,212960650.0,212960650.0,6023343.5,0.0,16141102.034,0.0,0.0,267.9757851100473,7.579382404214112,2,False,True,False,3.0,44.0
