id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,parentCode,parent_id
1,1.0,I. ДОХОДЫ,11336443609.0,11353586698.3,11353586724.3,539694505.4,0.0,687737067.02,0.0,0.0,127.4308076400142,6.05744320028878,0,False,True,False,,
6,1.0,НАЛОГОВЫЕ ПОСТУПЛЕНИЯ,4936683052.7,4953253695.1,4953253721.1,238872332.4,0.0,370043168.931,0.0,0.0,154.91252804923005,7.4707089474274335,1,False,True,False,1.0,1.0
7,1.0,Налоговые поступления,4936683052.7,4953253695.1,4953253721.1,238872332.4,0.0,370043168.931,0.0,0.0,154.91252804923005,7.4707089474274335,2,False,True,False,1.0,6.0
8,1.0,Подоходный налог,2442004101.2,2458262990.6,2458262990.6,124606971.7,0.0,205288710.258,0.0,0.0,164.74897628701459,8.350966151424434,3,False,True,False,1.0,7.0
9,1.0,Корпоративный подоходный налог,860433764.0,875433764.0,875433764.0,40772195.0,0.0,66876022.326,0.0,0.0,164.02360070631468,7.639187003758287,4,False,True,False,1.0,8.0
10,2.0,Индивидуальный подоходный налог,1581570337.2,1582829226.6,1582829226.6,83834776.7,0.0,138412687.932,0.0,0.0,165.10175535780965,8.744638120520285,4,False,True,False,1.0,8.0
11,3.0,Социальный налог,1105115706.7,1105265706.7,1105265706.7,59071738.7,0.0,89340422.752,0.0,0.0,151.24055041907883,8.083162465860301,3,False,True,False,1.0,7.0
12,1.0,Социальный налог,1105115706.7,1105265706.7,1105265706.7,59071738.7,0.0,89340422.752,0.0,0.0,151.24055041907883,8.083162465860301,4,False,True,False,3.0,11.0
13,4.0,Hалоги на собственность,484042870.9,484042870.9,484042896.9,4830500.7,0.0,6961339.184,0.0,0.0,144.11216592930006,1.4381657552632503,3,False,True,False,1.0,7.0
14,1.0,Hалоги на имущество,379016099.8,379016099.8,379016125.8,3311620.3,0.0,4616608.959,0.0,0.0,139.40634918200013,1.2180508017318772,4,False,True,False,4.0,13.0
15,3.0,Земельный налог,16719974.2,16719974.2,16719974.2,151007.1,0.0,335472.901,0.0,0.0,222.15703831144364,2.0064199680403814,4,False,True,False,4.0,13.0
