id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,parentCode,parent_id
1,1.0,I. ДОХОДЫ,13330085469.0,14291121951.3,14531091943.9,10288329703.2,0.0,10965929470.176,0.0,0.0,106.58610082028422,75.46528170430705,0,False,True,False,,
6,1.0,НАЛОГОВЫЕ ПОСТУПЛЕНИЯ,5945667779.0,6711214732.5,6711220361.5,4768877959.2,0.0,5446626848.994,0.0,0.0,114.21191516311512,81.15702592988087,1,False,True,False,1.0,1.0
7,1.0,Налоговые поступления,5945667779.0,6711214732.5,6711220361.5,4768877959.2,0.0,5446626848.994,0.0,0.0,114.21191516311512,81.15702592988087,2,False,True,False,1.0,6.0
8,1.0,Подоходный налог,3061110392.0,3572766938.0,3572765013.2,2501853811.6,0.0,2953831847.88,0.0,0.0,118.06572527077226,82.67635394342257,3,False,True,False,1.0,7.0
9,1.0,Корпоративный подоходный налог,1161215341.0,1391726204.5,1391726204.5,937674829.1,0.0,1108978338.797,0.0,0.0,118.26896749072604,79.68365726040332,4,False,True,False,1.0,8.0
10,2.0,Индивидуальный подоходный налог,1899895051.0,2181040733.5,2181038808.7,1564178982.5,0.0,1844853509.083,0.0,0.0,117.9438881178676,84.58600102501698,4,False,True,False,1.0,8.0
11,3.0,Социальный налог,1299172830.0,1474768957.7,1474768957.7,1065389567.4,0.0,1179896960.494,0.0,0.0,110.74793639789868,80.00554624733405,3,False,True,False,1.0,7.0
12,1.0,Социальный налог,1299172830.0,1474768957.7,1474768957.7,1065389567.4,0.0,1179896960.494,0.0,0.0,110.74793639789868,80.00554624733405,4,False,True,False,3.0,11.0
13,4.0,Hалоги на собственность,540637353.0,624644880.3,624652727.1,477481389.6,0.0,526427101.017,0.0,0.0,110.25081028980065,84.2751625308641,3,False,True,False,1.0,7.0
14,1.0,Hалоги на имущество,426895264.0,503239958.0,503247441.0,379278966.9,0.0,403773337.488,0.0,0.0,106.45814103223343,80.2335599930055,4,False,True,False,4.0,13.0
15,3.0,Земельный налог,16443038.0,15799074.7,15800061.7,11280116.1,0.0,12997262.524,0.0,0.0,115.22277260958333,82.2608339814268,4,False,True,False,4.0,13.0
16,4.0,Hалог на транспортные средства,96011942.0,103492076.5,103491117.3,85681696.5,0.0,106863192.091,0.0,0.0,124.72114402053185,103.25832291599002,4,False,True,False,4.0,13.0
17,5.0,Единый земельный налог,1287109.0,2113771.1,2114107.1,1240610.1,0.0,2793308.914,0.0,0.0,225.15606748647295,132.12712421239206,4,False,True,False,4.0,13.0
18,5.0,"Внутренние налоги на товары, работы и услуги",945959697.0,934818217.7,934817924.7,647034189.5,0.0,696639892.04,0.0,0.0,107.66662772153248,74.52145210668316,3,False,True,False,1.0,7.0
19,2.0,Акцизы,755671050.0,727636645.0,727636645.0,496885356.3,0.0,518354960.145,0.0,0.0,104.32083650137547,71.23816037948446,4,False,True,False,5.0,18.0
20,3.0,Поступления за использование природных и других ресурсов,137899905.0,144802165.9,144802972.9,106505695.4,0.0,112295352.606,0.0,0.0,105.43600713957689,77.55044689831779,4,False,True,False,5.0,18.0
21,4.0,Сборы за ведение предпринимательской и профессиональной деятельности,52388742.0,62379406.8,62378306.8,43643137.8,0.0,65989579.289,0.0,0.0,151.2026463161409,105.78930829363262,4,False,True,False,5.0,18.0
22,7.0,Прочие налоги,105983.0,258045.6,258045.6,136013.6,0.0,503872.522,0.0,0.0,370.45745572501573,195.26491519328366,3,False,True,False,1.0,7.0
23,1.0,Прочие налоги,105983.0,258045.6,258045.6,136013.6,0.0,503872.522,0.0,0.0,370.45745572501573,195.26491519328366,4,False,True,False,7.0,22.0
24,8.0,"Обязательные платежи, взимаемые за совершение юридически значимых действий и (или) выдачу документов уполномоченными на то государственными органами или должностными лицами",98681524.0,103957693.2,103957693.2,76982987.5,0.0,89327175.041,0.0,0.0,116.03495517889584,85.92646901961075,3,False,True,False,1.0,7.0
25,1.0,Государственная пошлина,98681524.0,103957693.2,103957693.2,76982987.5,0.0,89327175.041,0.0,0.0,116.03495517889584,85.92646901961075,4,False,True,False,8.0,24.0
26,2.0,НЕНАЛОГОВЫЕ ПОСТУПЛЕНИЯ,75843474.0,302033727.4,302028568.4,239670443.4,0.0,312889682.483,0.0,0.0,130.54996604683544,103.59605521442454,1,False,True,False,1.0,1.0
27,2.0,Неналоговые поступления,75843474.0,302033727.4,302028568.4,239670443.4,0.0,312889682.483,0.0,0.0,130.54996604683544,103.59605521442454,2,False,True,False,2.0,26.0
28,1.0,Доходы от государственной собственности,13564808.0,17162642.3,17157315.3,12974856.1,0.0,19136838.322,0.0,0.0,147.4917191721302,111.53748699833008,3,False,True,False,2.0,27.0
29,1.0,Поступления части чистого дохода государственных предприятий,1247902.0,3443821.3,3443821.3,2958615.9,0.0,4640906.673,0.0,0.0,156.8607358934291,134.76038007547024,4,False,True,False,1.0,28.0
30,3.0,"Дивиденды на государственные пакеты акций, находящиеся в государственной собственности",2278043.0,2275571.0,2275571.0,1916114.0,0.0,2527933.135,0.0,0.0,131.93020535312615,111.09005761630817,4,False,True,False,1.0,28.0
31,4.0,"Доходы на доли участия в юридических лицах, находящиеся в государственной собственности",539494.0,556112.0,556112.0,210104.0,0.0,1035512.995,0.0,0.0,492.8573444579827,186.20583533532812,4,False,True,False,1.0,28.0
32,5.0,"Доходы от аренды  имущества, находящегося в государственной собственности",8708016.0,9539354.2,9534027.2,7070630.9,0.0,9055233.495,0.0,0.0,128.06825335770247,94.97805392248094,4,False,True,False,1.0,28.0
33,6.0,Вознаграждения за размещение бюджетных средств на банковских счетах,2000.0,334398.0,334398.0,334398.0,0.0,919885.416,0.0,0.0,275.08699693179983,275.08699693179983,4,False,True,False,1.0,28.0
34,7.0,"Вознаграждения по кредитам, выданным из государственного бюджета",698252.0,835932.5,835932.5,371098.9,0.0,770478.068,0.0,0.0,207.62068224939495,92.16989027224088,4,False,True,False,1.0,28.0
35,9.0,Прочие доходы от государственной собственности,91101.0,177453.3,177453.3,113894.4,0.0,186888.54,0.0,0.0,164.089314312205,105.31702707134781,4,False,True,False,1.0,28.0
36,2.0,"Поступления от реализации товаров (работ, услуг) государственными учреждениями, финансируемыми из государственного бюджета",15262.0,19885.7,19885.7,7683.0,0.0,39543.634,0.0,0.0,514.6900169204738,198.85462417717252,3,False,True,False,2.0,27.0
37,1.0,"Поступления от реализации товаров (работ, услуг) государственными учреждениями, финансируемыми из государственного бюджета",15262.0,19885.7,19885.7,7683.0,0.0,39543.634,0.0,0.0,514.6900169204738,198.85462417717252,4,False,True,False,2.0,36.0
38,3.0,"Поступления денег от проведения государственных закупок, организуемых государственными учреждениями, финансируемыми из государственного бюджета",142946.0,189991.3,189991.3,105599.3,0.0,425214.686,0.0,0.0,402.6680915498493,223.80745118329105,3,False,True,False,2.0,27.0
39,1.0,"Поступления денег от проведения государственных закупок, организуемых государственными учреждениями, финансируемыми из государственного бюджета",142946.0,189991.3,189991.3,105599.3,0.0,425214.686,0.0,0.0,402.6680915498493,223.80745118329105,4,False,True,False,3.0,38.0
40,4.0,"Штрафы, пени, санкции, взыскания, налагаемые государственными учреждениями, финансируемыми из государственного бюджета, а также содержащимися и финансируемыми из бюджета (сметы расходов) Национального Банка Республики Казахстан",26919883.0,107887435.2,107887435.2,84053209.8,0.0,130673592.079,0.0,0.0,155.46532058672196,121.12030639782971,3,False,True,False,2.0,27.0
41,1.0,"Штрафы, пени, санкции, взыскания, налагаемые государственными учреждениями, финансируемыми из государственного бюджета, а также содержащимися и финансируемыми из бюджета (сметы расходов) Национального Банка Республики Казахстан, за исключением поступлений от организаций нефтяного сектора, в Фонд компенсации потерпевшим, Фонд поддержки инфраструктуры образования и Специальный государственный фонд",26919883.0,107887435.2,107887435.2,84053209.8,0.0,130673592.079,0.0,0.0,155.46532058672196,121.12030639782971,4,False,True,False,4.0,40.0
42,5.0,Гранты,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3,False,True,False,2.0,27.0
43,1.0,Техническая помощь,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4,False,True,False,5.0,42.0
44,6.0,Прочие неналоговые поступления,35200575.0,176773772.9,176773940.9,142529095.2,0.0,162614463.762,0.0,0.0,114.09211819791305,91.99006535357496,3,False,True,False,2.0,27.0
45,1.0,Прочие неналоговые поступления,35200575.0,176773772.9,176773940.9,142529095.2,0.0,162614463.762,0.0,0.0,114.09211819791305,91.99006535357496,4,False,True,False,6.0,44.0
