id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,23548453455.0,23548453455.0,23548453455.0,0.0,10654996578.4,3700376956.981,4729655283.839,1029278326.8579998,0.0,15.71388526236871,0,True,True,False
2,1,Текущие затраты,0.0,0.0,18431388348.5,0.0,8609903635.9,3058841031.881,3976623932.211,917782900.3299999,0.0,16.59582541501784,0,True,True,False
3,2,Капитальные затраты,0.0,0.0,1651057410.5,0.0,1392484357.5,129835152.314,241324469.266,111489316.952,0.0,7.863757582765168,0,True,True,False
4,3,Бюджетные кредиты,0.0,0.0,279299322.0,0.0,189843948.0,163920000.0,163920000.0,0.0,0.0,58.68972356474249,0,True,True,False
5,4,Приобретение финансовых активов,0.0,0.0,138734638.0,0.0,71110.0,68291.273,68291.273,0.0,0.0,0.049224385477547435,0,True,True,False
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,296675880.0,296675870.894,296675870.894,0.0,0.0,11.626340858281123,0,True,True,False
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,20573350.0,0.0,6665.0,555.416,6664.992,6109.576,0.0,0.0026996867306491165,0,True,True,False
