id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,21504671667.0,21504671667.0,21580077585.0,15556331831.5,18585273192.2,14773812038.17,15570898701.389,797086663.2189999,94.96976664032405,68.46042133064,0,True,True,False
2,1,Текущие затраты,0.0,0.0,14853331545.3,11221141230.3,13160197308.4,10566870662.357,11143205876.423,576335214.066,94.16930457860829,71.14141787066383,0,True,True,False
3,2,Капитальные затраты,0.0,0.0,2312788343.2,1398748949.7,2280949731.4,1306788757.332,1525866956.985,219078199.65299988,93.4255398448933,56.5027388335896,0,True,True,False
4,3,Бюджетные кредиты,0.0,0.0,617804497.0,233990562.0,359292964.0,225642897.0,225642897.0,0.0,96.43247790481395,36.52334971592154,0,True,True,False
5,4,Приобретение финансовых активов,0.0,0.0,82289471.6,78485814.6,82285814.6,60551771.413,60551771.413,0.0,77.14995597815965,73.58386223128939,0,True,True,False
6,5,Погашение займов,0.0,0.0,3016574530.0,2157773641.1,2157773641.1,2157773639.871,2157773639.871,0.0,99.99999994304314,71.53059267761569,0,True,True,False
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,68908345.0,54759250.0,65102733.0,46141263.633,47814513.133,1673249.5,84.26204455502952,66.96034222415297,0,True,True,False
