id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,0.0,17108567495.6,12003756626.321,13032860309.837,1029103683.5160007,0.0,47.88319033025255,0,True,True,False
2,1,Текущие затраты,0.0,0.0,18506247675.0,0.0,12738635853.0,9196558521.581,9988944817.634,792386296.0530014,0.0,49.69434475906526,0,True,True,False
3,2,Капитальные затраты,0.0,0.0,2495113123.3,0.0,2354152160.4,994816144.064,1218592446.282,223776302.21800005,0.0,39.87058281142262,0,True,True,False
4,3,Бюджетные кредиты,0.0,0.0,661400027.0,0.0,463873082.0,405702211.1,405702211.1,0.0,0.0,61.33991450532553,0,True,True,False
5,4,Приобретение финансовых активов,0.0,0.0,208212300.0,0.0,135553278.6,135135372.558,135135372.558,0.0,0.0,64.9026846915384,0,True,True,False
6,5,Погашение займов,0.0,0.0,2551756176.0,0.0,1045126456.3,1042105707.765,1042105707.765,0.0,0.0,40.83876498727832,0,True,True,False
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,39117971.0,0.0,19915888.0,6974802.185,19915887.43,12941085.245000001,0.0,17.830173719899737,0,True,True,False
