id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,27000467208.0,27000467208.0,27064452782.0,10989149431.6,17331393009.7,10500580641.84,11831430788.881,1330850147.0410004,95.55408002410914,38.79842214590688,0,True,True,False
2,1,Текущие затраты,0.0,0.0,20405519557.7,8600954105.0,12936213937.9,8203527567.664,9199780038.656,996252470.9920006,95.37927382841208,40.2024929797409,0,True,True,False
3,2,Капитальные затраты,0.0,0.0,2253092730.8,431814367.6,2183815101.2,341300694.093,656871669.14,315570975.047,79.03875361765522,15.148097964517207,0,True,True,False
4,3,Бюджетные кредиты,0.0,0.0,617804497.0,176666288.0,293666413.0,176666288.0,176666288.0,0.0,100.0,28.595824222367227,0,True,True,False
5,4,Приобретение финансовых активов,0.0,0.0,81615558.6,35026378.1,39093386.0,35026378.023,35026378.023,0.0,99.99999978016568,42.91630005825875,0,True,True,False
6,5,Погашение займов,0.0,0.0,3016574530.0,1513589952.1,1513589952.1,1513589951.532,1513589951.532,0.0,99.99999996247332,50.175785032965855,0,True,True,False
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,61367055.0,21705637.0,40732338.0,21705636.133,40732337.133,19026701.0,99.99999600564591,35.370177260420924,0,True,True,False
