id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,23548453455.0,25068832180.0,25068832180.0,22658899401.7,23718199785.6,22322689342.92,22777783723.494,455094380.5740013,98.51621187410903,89.04558929047009,0,True,True,False
2,1,Текущие затраты,0.0,0.0,18501377466.4,16531042492.7,17342695959.7,16358926173.681,16657446463.459,298520289.7779999,98.95882961346808,88.42004441772043,0,True,True,False
3,2,Капитальные затраты,0.0,0.0,2494652930.6,2242586860.6,2463318282.9,2121905703.88,2271059097.306,149153393.42600012,94.61866298959266,85.05815289382365,0,True,True,False
4,3,Бюджетные кредиты,0.0,0.0,661400027.0,659754314.6,661400027.0,659754314.6,659754314.6,0.0,100.0,99.7511774519477,0,True,True,False
5,4,Приобретение финансовых активов,0.0,0.0,208212300.0,208205452.6,208205452.6,204613034.558,204613034.558,0.0,98.27458022970144,98.27134831035438,0,True,True,False
6,5,Погашение займов,0.0,0.0,2551756176.0,2442403715.8,2442403715.8,2442403714.199,2442403714.199,0.0,99.99999993444982,95.71461949109828,0,True,True,False
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,39117971.0,33108678.7,39117971.0,31695606.812,39116304.182,7420697.369999997,95.73201968944777,81.02569228859032,0,True,True,False
