id,code,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded
1,0,Итого,27000467208.0,27000467208.0,27000467208.0,2094784905.4,9536838537.3,2061240509.47,2965321019.061,904080509.5909998,98.39867110730422,7.634092008820027,0,True,True,False
2,1,Текущие затраты,0.0,0.0,20497664745.8,1435609696.3,7347981057.0,1405449054.36,2185345580.244,779896525.8840001,97.89910572367036,6.85663011757463,0,True,True,False
3,2,Капитальные затраты,0.0,0.0,2122711123.2,4504378.1,1427031182.3,3845133.36,128026393.372,124181260.012,85.36435606948716,0.1811425642413103,0,True,True,False
4,3,Бюджетные кредиты,0.0,0.0,617804497.0,15000000.0,27410000.0,15000000.0,15000000.0,0.0,100.0,2.4279525436992735,0,True,True,False
5,4,Приобретение финансовых активов,0.0,0.0,49929694.0,2295664.0,2295664.0,2294378.023,2294378.023,0.0,99.94398235107576,4.595217473193407,0,True,True,False
6,5,Погашение займов,0.0,0.0,3016574530.0,602850527.0,602850527.0,602714171.349,602714171.349,0.0,99.97738151583302,19.9800855359274,0,True,True,False
7,6,Выполнение государственных обязательств по проектам государственно-частного партнерства,0.0,0.0,61314805.0,681.0,2724.0,0.0,2723.695,2723.695,0.0,0.0,0,True,True,False
